Name,Era,Clothing_Element,Power_Type,Height,Ornament,Color,Structure,Mechanism,Analysis
Louis XIV,17thC,Red Heels & Gold Embroidery,Dominance,4,5,5,3,Height amplification & visual dominance,Gold density and elevated heels constructed spectacle-based authority.
Elizabeth I,16thC,Pearls & Structured Collar,Prestige,2,5,4,4,Sacred femininity construction,Pearls symbolized purity while spatial collars projected controlled power.
Napoleon Bonaparte,19thC,Military Uniform,Dominance,3,3,2,5,Structure as competence signal,Rigid tailoring emphasized discipline and strategic authority.
Catherine de Medici,16thC,Corset Silhouette,Prestige,2,4,3,5,Body control as political control,Structured garments reflected calculated governance.
Cleopatra,Ancient,Gold Regalia,Prestige,3,5,5,3,Divine embodiment,Gold merged ruler identity with sacred symbolism.
Queen Victoria,19thC,Black Mourning Dress,Prestige,1,2,1,4,Moral restraint signaling,Sustained mourning reframed monarchy as disciplined and ethical.
Marie Antoinette,18thC,Excess Ornamentation,Prestige,2,5,4,3,Hyper-status display,Visual abundance destabilized political legitimacy.
Coco Chanel,20thC,Minimal Black Suit,Prestige,1,1,2,4,Anti-ornament authority,Minimalism shifted power from wealth to autonomy.
Margaret Thatcher,20thC,Structured Power Suit,Dominance,2,2,2,5,Masculine-coded tailoring,Sharp structure translated authority into political presence.
Julius Caesar,Ancient,Laurel Crown,Dominance,3,4,4,3,Victory symbolism,The laurel served as visual proof of conquest.
Alexander the Great,Ancient,Decorative Armor,Dominance,4,4,3,4,Warrior aesthetic,Armor combined intimidation with theatrical presence.
Empress Theodora,6thC,Imperial Robes,Prestige,2,5,5,4,Sacred iconography,Rich textiles merged political and religious legitimacy.
Frida Kahlo,20thC,Traditional Tehuana Dress,Prestige,1,4,5,3,Identity reclamation,Traditional costume became cultural resistance.
Princess Diana,20thC,Soft Tailored Dresses,Prestige,2,3,3,3,Empathic authority,Approachable silhouettes built emotional legitimacy.
Yves Saint Laurent,20thC,Le Smoking Suit,Prestige,1,2,2,5,Gender power inversion,Masculine tailoring disrupted hierarchical gender codes.
